Index	Label
0	7
1	0
2	9
3	9
4	7
5	0
6	7
7	0
8	2
9	9
10	9
11	0
12	6
13	6
14	7
15	2
16	9
17	0
18	6
19	9
20	4
21	0
22	0
23	6
24	0
25	2
26	7
27	7
28	8
29	0
30	7
31	5
32	4
33	2
34	7
35	8
36	9
37	4
38	0
39	0
40	3
41	1
42	3
43	7
44	7
45	4
46	7
47	7
48	7
49	9
50	0
51	2
52	9
53	6
54	9
55	7
56	1
57	9
58	6
59	2
60	0
61	3
62	4
63	0
64	0
65	7
66	9
67	1
68	1
69	0
70	9
71	5
72	8
73	0
74	3
75	4
76	1
77	2
78	7
79	9
80	5
81	0
82	7
83	8
84	0
85	8
86	7
87	9
88	7
89	0
90	4
91	7
92	0
93	8
94	0
95	0
96	8
97	9
98	0
99	9
100	4
101	9
102	9
103	0
104	5
105	9
106	0
107	7
108	7
109	0
110	7
111	0
112	3
113	0
114	3
115	4
116	9
117	0
118	7
119	5
120	2
121	7
122	5
123	3
124	7
125	6
126	8
127	9
128	0
129	9
130	0
131	0
132	5
133	6
134	4
135	9
136	1
137	2
138	1
139	0
140	7
141	9
142	9
143	6
144	4
145	1
146	5
147	7
148	9
149	9
150	3
151	3
152	7
153	0
154	8
155	9
156	7
157	9
158	7
159	2
160	6
161	0
162	7
163	0
164	0
165	0
166	9
167	2
168	0
169	9
170	8
171	7
172	0
173	7
174	9
175	9
176	0
177	9
178	7
179	8
180	4
181	5
182	5
183	0
184	0
185	3
186	3
187	9
188	0
189	7
190	0
191	2
192	0
193	1
194	3
195	0
196	3
197	5
198	2
199	5
200	9
201	7
202	4
203	6
204	6
205	7
206	4
207	9
208	1
209	0
210	3
211	7
212	9
213	3
214	0
215	3
216	7
217	7
218	9
219	7
220	8
221	5
222	3
223	7
224	8
225	6
226	8
227	9
228	3
229	8
230	7
231	7
232	9
233	3
234	7
235	2
236	2
237	6
238	3
239	4
240	7
241	6
242	4
243	9
244	5
245	0
246	8
247	5
248	6
249	0
250	4
251	7
252	7
253	4
254	3
255	0
256	9
257	2
258	9
259	3
260	3
261	5
262	7
263	1
264	9
265	0
266	4
267	6
268	0
269	2
270	4
271	6
272	9
273	0
274	5
275	0
276	0
277	0
278	4
279	0
280	9
281	1
282	9
283	5
284	1
285	7
286	0
287	4
288	7
289	3
290	2
291	9
292	0
293	2
294	0
295	0
296	1
297	0
298	4
299	6
300	3
301	6
302	9
303	6
304	0
305	8
306	6
307	7
308	7
309	3
310	0
311	4
312	5
313	5
314	5
315	8
316	4
317	0
318	6
319	9
320	6
321	8
322	8
323	6
324	7
325	7
326	4
327	9
328	7
329	0
330	7
331	0
332	0
333	0
334	7
335	7
336	6
337	0
338	6
339	0
340	9
341	0
342	4
343	5
344	7
345	6
346	0
347	7
348	7
349	5
350	0
351	2
352	9
353	9
354	9
355	0
356	0
357	9
358	7
359	3
360	3
361	8
362	1
363	9
364	7
365	4
366	9
367	4
368	9
369	9
370	9
371	3
372	2
373	0
374	4
375	0
376	7
377	3
378	9
379	0
380	7
381	0
382	7
383	7
384	4
385	2
386	7
387	0
388	6
389	0
390	7
391	4
392	9
393	0
394	7
395	0
396	9
397	9
398	0
399	8
400	7
401	9
402	1
403	6
404	9
405	7
406	1
407	0
408	5
409	7
410	2
411	0
412	9
413	0
414	6
415	9
416	0
417	7
418	8
419	7
420	0
421	7
422	7
423	0
424	2
425	0
426	5
427	0
428	3
429	6
430	6
431	5
432	7
433	4
434	0
435	0
436	9
437	8
438	9
439	8
440	9
441	6
442	4
443	7
444	0
445	2
446	7
447	9
448	0
449	1
450	4
451	6
452	7
453	0
454	9
455	7
456	6
457	7
458	2
459	0
460	0
461	4
462	2
463	7
464	7
465	5
466	9
467	7
468	2
469	6
470	9
471	4
472	7
473	9
474	9
475	0
476	7
477	5
478	3
479	8
480	1
481	5
482	0
483	0
484	9
485	9
486	1
487	0
488	1
489	6
490	9
491	3
492	2
493	9
494	0
495	0
496	3
497	7
498	9
499	0
500	8
501	1
502	0
503	7
504	6
505	0
506	0
507	0
508	0
509	0
510	7
511	7
512	7
513	1
514	9
515	4
516	9
517	6
518	7
519	8
520	9
521	1
522	9
523	1
524	9
525	3
526	3
527	7
528	9
529	0
530	9
531	9
532	4
533	2
534	9
535	9
536	7
537	9
538	8
539	0
540	0
541	7
542	2
543	7
544	8
545	0
546	0
547	5
548	0
549	9
550	7
551	0
552	0
553	0
554	9
555	3
556	0
557	1
558	7
559	9
560	8
561	1
562	6
563	7
564	9
565	5
566	0
567	2
568	8
569	6
570	0
571	2
572	1
573	2
574	9
575	6
576	9
577	2
578	9
579	1
580	7
581	0
582	9
583	8
584	9
585	0
586	1
587	9
588	8
589	2
590	9
591	9
592	9
593	5
594	8
595	7
596	6
597	4
598	9
599	7
600	0
601	7
602	0
603	3
604	6
605	7
606	7
607	0
608	9
609	8
610	9
611	9
612	9
613	7
614	0
615	0
616	4
617	0
618	5
619	0
620	3
621	7
622	5
623	0
624	0
625	0
626	7
627	9
628	1
629	0
630	0
631	1
632	0
633	2
634	2
635	7
636	0
637	2
638	0
639	0
640	5
641	2
642	0
643	0
644	6
645	6
646	0
647	9
648	3
649	8
650	0
651	0
652	9
653	5
654	8
655	3
656	0
657	1
658	2
659	4
660	9
661	2
662	1
663	1
664	9
665	7
666	0
667	5
668	8
669	0
670	7
671	1
672	9
673	9
674	8
675	0
676	0
677	6
678	5
679	1
680	9
681	9
682	7
683	0
684	5
685	1
686	0
687	1
688	3
689	7
690	7
691	0
692	0
693	3
694	7
695	7
696	9
697	9
698	0
699	8
700	1
701	4
702	4
703	7
704	0
705	9
706	5
707	7
708	5
709	0
710	9
711	4
712	9
713	9
714	7
715	9
716	7
717	0
718	5
719	9
720	6
721	5
722	7
723	4
724	1
725	4
726	3
727	0
728	5
729	3
730	7
731	7
732	0
733	7
734	9
735	7
736	5
737	4
738	0
739	0
740	7
741	7
742	4
743	6
744	1
745	9
746	0
747	0
748	6
749	3
750	1
751	8
752	7
753	1
754	9
755	0
756	0
757	1
758	7
759	7
760	5
761	9
762	4
763	7
764	3
765	9
766	3
767	7
768	7
769	9
770	5
771	4
772	8
773	1
774	0
775	6
776	7
777	8
778	0
779	0
780	9
781	9
782	0
783	7
784	9
785	8
786	2
787	0
788	7
789	9
790	3
791	3
